id,name,likes,dislikes,DOB
510,Kimberly,Bonsai Tree,People Watching,17/03/1937
511,Christopher,R/C Planes,Matchstick Modeling,21/10/1969
512,Rose,Photography,Painting,17/02/1936
513,Alan,Modeling Ships,Letterboxing,5/03/1928
514,Shawn,Surfing,Crafts,15/04/1926
515,Tammy,Soccer,Owning An Antique Car,17/05/1997
516,Carlos,YoYo,Horse riding,14/06/1907
517,Judy,Protesting,Football,5/12/1933
518,Margaret,Legos,Video Games,24/01/1999
519,Dorothy,Railfans,Writing,8/09/2000
520,David,Sand Castles,Glowsticking,28/08/1931
521,Nancy,Model Rockets,Sky Diving,27/08/1927
522,Brenda,Ziplining,Eating out,5/08/1954
523,Phillip,Ceramics,Home Brewing,10/07/1934
524,Jeremy,Soap Making,Fast cars,20/02/1981
525,Ruth,Toy Collecting,Collecting Music Albums,17/02/1995
526,Carolyn,Fly Tying,Texting,29/09/1942
527,Jesse,Bowling,Model Railroading,17/11/1910
528,Phyllis,Protesting,Woodworking,26/05/1938
529,Beverly,Collecting Antiques,Candle Making,27/08/1907
530,Ann,Computer activities,Bridge Building,29/03/1907
531,Nancy,Fire Poi,Swimming,13/03/1902
532,Gregory,Body Building,Spelunkering,29/04/1974
533,Emily,Wingsuit Flying,Geocaching,17/12/1987
534,Lillian,Tennis,Origami,7/03/1912
535,Phillip,Crafts (unspecified),World Record Breaking,31/05/1986
536,Charles,Jewelry Making,Entertaining,7/02/1922
537,Ruth,Basketball,Papermaking,26/05/1975
538,Elizabeth,Badminton,Spelunkering,18/06/1924
539,Kelly,Genealogy,Marksmanship,24/09/1930
540,Clarence,Watching sporting events,Writing,19/03/1938
541,Jacqueline,Quilting,Collecting Antiques,20/04/1938
542,Raymond,Dolls,Handwriting Analysis,14/07/1935
543,Jessica,Blogging,Church/church activities,4/03/1999
544,Gerald,Protesting,Ghost Hunting,3/03/1953
545,Amy,Dodgeball,Jigsaw Puzzles,21/10/1993
546,Lisa,Texting,Papermache,20/04/1919
547,Charles,Tutoring Children,Tool Collecting,9/04/1949
548,Linda,Home Theater,Train Spotting,13/11/1966
549,Richard,Frisbee Golf – Frolf,Guitar,1/08/1978
550,Samuel,Grip Strength,Birding,4/04/1916
551,Steve,Shopping,Floorball,8/07/1932
552,Harold,String Figures,Weightlifting,15/10/1911
553,Gregory,Working In A Food Pantry,Beach/Sun tanning,12/03/1949
554,Edward,Kites,Storytelling,27/01/2000
555,George,Papermaking,Sand Castles,18/05/1980
556,Paula,Reading To The Elderly,Traveling,11/05/2009
557,Harold,Watching sporting events,Jump Roping,21/01/1962
558,Jose,Aircraft Spotting,Baseball,6/03/1942
559,Jerry,Candle Making,YoYo,30/12/1982
560,Sharon,Pole Dancing,Wingsuit Flying,23/03/1965
561,Billy,Renaissance Faire,Fencing,22/03/1949
562,Ronald,Models,Bird watching,3/03/1910
563,Tina,Survival,Video Games,13/12/1964
564,Virginia,Rock Balancing,Games,14/04/1929
565,Angela,R/C Helicopters,Dancing,26/06/1959
566,Roger,Listening to music,Rock Balancing,16/01/1976
567,Sarah,Compose Music,Writing Music,7/08/1996
568,Barbara,Magic,Cross-Stitch,8/09/2006
569,Scott,Keep A Journal,Volunteer,24/06/1995
570,Jose,Walking,Reading,14/07/1962
571,Paul,Parkour,Bridge Building,14/12/1925
572,Diana,Matchstick Modeling,Cave Diving,4/03/1966
573,Anthony,Owning An Antique Car,Embroidery,15/10/1987
574,Steve,Rock Balancing,BMX,13/02/1957
575,Margaret,Models,Pole Dancing,31/01/1952
576,Julia,Astrology,Hang gliding,26/05/1949
577,Christine,Educational Courses,Becoming A Child Advocate,16/04/1933
578,Jack,Beachcombing,Crocheting,13/06/1900
579,Jimmy,Parachuting,Blogging,19/06/2004
580,Denise,Train Collecting,Hot air ballooning,6/04/1911
581,Karen,Casino Gambling,Hiking,18/02/1963
582,Harold,Bonsai Tree,Scrapbooking,4/04/1958
583,Willie,BMX,Soccer,13/11/1980
584,Patrick,Listening to music,Letterboxing,22/03/1986
585,Rebecca,Slingshots,Hot air ballooning,18/03/1947
586,Shawn,Bringing Food To The Disabled,Gun Collecting,12/01/1908
587,Elizabeth,Darts,Keep A Journal,23/07/1943
588,Samuel,Needlepoint,Skiing,3/03/2004
589,Joan,Storm Chasing,Papermaking,7/12/1999
590,Robin,Cave Diving,Pinochle,20/12/1979
591,Harold,Crafts (unspecified),Educational Courses,8/01/1998
592,Bruce,Traveling,Quilting,14/06/1948
593,Janice,Listening to music,Cave Diving,11/09/1913
594,Lawrence,Arts,YoYo,11/01/1982
595,Earl,Storm Chasing,Iceskating,17/06/1972
596,Adam,Building Dollhouses,Locksport,2/12/1988
597,Earl,Brewing Beer,Cooking,5/05/1915
598,Howard,Playing music,Tombstone Rubbing,18/01/1901
599,Denise,Powerboking,Sleeping,29/09/1990
600,Sean,Keep A Journal,Embroidery,2/04/1934
601,Louis,Musical Instruments,Jump Roping,29/06/1959
602,Roy,Musical Instruments,Zumba,30/04/1925
603,Alan,Bicycle Polo,Gardening,28/07/1950
604,Chris,Puppetry,Soap Making,12/11/2006
605,Carl,Sketching,Chess,19/08/1985
606,James,Dolls,Skeet Shooting,8/02/1968
607,Alice,Aircraft Spotting,Working on cars,7/01/2004
608,Joe,Paintball,Beatboxing,3/03/1948
609,Betty,Snowboarding,Mountain Climbing,8/03/1984
610,Robin,Games,Blacksmithing,29/09/2002
611,Patricia,Marksmanship,Pinochle,10/10/1903
612,Johnny,Four Wheeling,Sky Diving,25/12/1979
613,Gloria,Jewelry Making,Robotics,27/01/1906
614,Doris,Entertaining,Urban Exploration,17/09/1987
615,Ashley,R/C Planes,Parkour,18/09/1916
616,Alan,Lacrosse,Ziplining,3/05/1909
617,Jesse,Gun Collecting,Shark Fishing,19/06/1960
618,Charles,Basketball,Beachcombing,22/07/1907
619,Harold,Internet,Legos,26/07/1911
620,Ruby,Electronics,Playing music,19/01/1942
621,Dennis,Bell Ringing,Racing Pigeons,12/09/1993
622,Nicholas,Train Spotting,Horse riding,24/06/1944
623,Gary,Motorcycles,Falconry,12/11/1907
624,Lois,Crafts,Pole Dancing,29/09/2004
625,Sharon,Computer activities,Gardening,28/07/1948
626,Carol,Piano,Windsurfing,12/04/1941
627,Joan,Yoga,Mountain Biking,2/07/1966
628,Jean,Arts,Gnoming,14/03/1968
629,Ryan,Garage Saleing,Rafting,16/07/1937
630,Rebecca,Cigar Smoking,Collecting Antiques,28/08/1993
631,Martin,Internet,Writing Music,6/06/1926
632,Bonnie,Airsofting,Compose Music,18/03/1974
633,Scott,Rockets,Models,8/06/1909
634,Lori,Games,Diecast Collectibles,25/03/1941
635,Norma,Frisbee Golf – Frolf,Crafts,19/06/1955
636,Lawrence,Walking,Listening to music,12/05/1953
637,Marie,Lawn Darts,Sky Diving,21/10/2007
638,Denise,Tea Tasting,Lasers,28/09/1995
639,Marie,Traveling,Paragliding or Power Paragliding,2/03/1987
640,Debra,Button Collecting,Quilting,25/05/1953
641,Christopher,Letterboxing,Learning To Pilot A Plane,30/12/1904
642,Helen,Coloring,Animals/pets/dogs,20/04/1986
643,Betty,Entertaining,Keep A Journal,2/04/1932
644,Chris,Rockets,Storytelling,19/01/1967
645,Terry,People Watching,Wrestling,1/07/1922
646,Laura,Soccer,Matchstick Modeling,7/08/1970
647,Chris,Going to movies,Volunteer,23/01/1997
648,Mildred,Ultimate Frisbee,Slot Car Racing,14/07/1922
649,Randy,Drawing,Calligraphy,3/04/1959
650,Robin,Cartooning,Handwriting Analysis,10/07/1955
651,Kenneth,Dumpster Diving,Ghost Hunting,18/12/1973
652,Ryan,YoYo,Kites,31/01/1926
653,Helen,Stamp Collecting,Renaissance Faire,12/12/1958
654,Barbara,Stamp Collecting,Golf,22/07/1987
655,Annie,Wingsuit Flying,Singing In Choir,24/10/1973
656,Peter,Watching sporting events,Jet Engines,23/03/1927
657,Chris,Home Theater,Base Jumping,9/06/1997
658,Julie,Inventing,Bringing Food To The Disabled,12/11/1974
659,Harold,Lasers,Macramé,22/09/1990
660,Patrick,Slingshots,Sketching,23/08/1938
661,Scott,Owning An Antique Car,Home Repair,1/11/1930
662,Tammy,Base Jumping,Ultimate Frisbee,15/01/1975
663,Christine,Baseball,Macramé,25/11/1916
664,Louis,Go Kart Racing,Canoeing,19/11/1916
665,Catherine,Model Railroading,Scrapbooking,15/12/1993
666,Daniel,Computer activities,Cosplay,18/10/1946
667,Samuel,Cake Decorating,Pipe Smoking,17/03/2005
668,Sharon,Entertaining,Writing,20/03/1966
669,Douglas,Cooking,BMX,11/02/1980
670,Irene,Body Building,Learning An Instrument,9/03/1964
671,Thomas,Running,Tesla Coils,17/09/1940
672,Emily,Crocheting,Keep A Journal,4/05/2008
673,Arthur,Blacksmithing,Cave Diving,18/06/1964
674,Kelly,Tesla Coils,Dancing,31/01/1960
675,Louise,R/C Cars,Drawing,24/06/1945
676,Bruce,Learning An Instrument,Brewing Beer,4/12/1953
677,Michelle,Pole Dancing,Slot Car Racing,23/05/1902
678,Carl,Amateur Radio,Kites,21/12/1924
679,Ruth,Sleeping,Football,23/03/1969
680,Melissa,Boomerangs,Bookbinding,4/01/1934
681,Howard,Bell Ringing,Video Games,26/08/1963
682,Joyce,Genealogy,Model Rockets,16/05/1900
683,Lois,Surfing,Working In A Food Pantry,4/09/2003
684,Edward,Aquarium (Freshwater & Saltwater),Woodworking,3/10/1913
685,Jason,Educational Courses,Treasure Hunting,2/04/1929
686,Bonnie,Coin Collecting,Amateur Radio,7/05/1910
687,Lori,Self Defense,Calligraphy,8/10/1904
688,Nancy,Lasers,Surf Fishing,29/03/1912
689,Ruth,Renaissance Faire,Gun Collecting,31/03/1919
690,Lawrence,Crafts (unspecified),Needlepoint,28/12/1933
691,Robin,Origami,Lawn Darts,20/12/1980
692,Eugene,Grip Strength,Tatting,8/02/1942
693,Frances,Parkour,Rocking AIDS Babies,7/01/1958
694,Larry,Snowboarding,Blogging,6/11/1926
695,Julie,Knotting,Hunting,15/05/2006
696,Randy,Paragliding or Power Paragliding,Wingsuit Flying,17/04/1912
697,Bobby,Computer activities,Making Model Cars,24/08/1912
698,Jessica,Tombstone Rubbing,Meditation,19/07/1966
699,Doris,Gardening,Knitting,16/05/1948
700,Lillian,Storm Chasing,Matchstick Modeling,13/04/1978
701,John,Locksport,Puppetry,14/06/1910
702,Paul,Hula Hooping,Jewelry Making,9/04/1982
703,Elizabeth,Reading,Wine Making,9/02/2006
704,Michael,Paintball,Handwriting Analysis,30/05/1918
705,Jacqueline,Grip Strength,Becoming A Child Advocate,27/10/1964
706,Richard,Crossword Puzzles,Roleplaying,22/09/1999
707,Gary,Sand Castles,Airbrushing,6/11/1907
708,Joe,People Watching,Tutoring Children,27/04/1909
709,Joseph,Rescuing Abused Or Abandoned Animals,Aircraft Spotting,27/11/1949
710,Jean,Running,Gardening,10/10/1976
711,Tammy,Pyrotechnics,Cheerleading,11/02/1961
712,James,Yoga,Trekkie,16/07/1910
713,Howard,Bicycling,Macramé,31/10/1933
714,Carol,Slack Lining,Guitar,20/11/1987
715,Norma,Amateur Radio,Reading,28/03/1992
716,Angela,Aeromodeling,Leathercrafting,22/09/1988
717,Betty,Dominoes,Sand Castles,29/05/1966
718,Diana,Warhammer,Bonsai Tree,23/01/1999
719,Amanda,Felting,Storm Chasing,23/07/1947
720,William,Garage Saleing,Lacrosse,11/03/1945
721,Jimmy,Boomerangs,Metal Detecting,6/08/1925
722,Kathryn,Snorkeling,Hula Hooping,26/11/1936
723,Richard,Tetris,Survival,4/07/1989
724,Carolyn,Papermache,Texting,29/07/1951
725,Virginia,Butterfly Watching,Papermache,5/03/1921
726,Carl,Learning An Instrument,Magic,29/12/1900
727,Louise,Home Brewing,Walking,7/04/1964
728,Denise,BMX,Badminton,1/12/1975
729,John,Musical Instruments,Glowsticking,26/04/1916
730,Phyllis,Button Collecting,Astronomy,26/09/1954
731,Kathy,Slack Lining,Socializing with friendseighbors,20/10/1972
732,George,Blacksmithing,Writing,22/06/1970
733,Nicole,Gardening,Inventing,6/02/1995
734,Jason,Hang gliding,Model Rockets,12/04/1950
735,Theresa,Building Dollhouses,Locksport,14/05/1991
736,Heather,Hiking,Acting,30/11/1978
737,Nicholas,YoYo,Drawing,9/02/2006
738,Amanda,Bonsai Tree,Making Model Cars,15/04/1981
739,Susan,Astrology,Gardening,4/11/1908
740,Jean,Boomerangs,Dancing,7/12/1984
741,Arthur,Computer activities,Roleplaying,27/08/1948
742,Eugene,Photography,Sewing,4/08/1985
743,George,Tea Tasting,Animals/pets/dogs,9/07/1929
744,Roy,YoYo,Crossword Puzzles,4/04/1927
745,Betty,Gyotaku,Powerboking,25/04/1996
746,Beverly,Wine Making,Sand Castles,28/12/1920
747,Diane,Tesla Coils,Genealogy,10/02/1939
748,Russell,Canoeing,Toy Collecting,14/08/1991
749,Kenneth,Diecast Collectibles,Frisbee Golf – Frolf,29/09/1936
750,Johnny,Go Kart Racing,Racing Pigeons,7/10/1979
751,Jonathan,Letterboxing,Calligraphy,13/03/1909
752,Jacqueline,Relaxing,Macramé,6/04/1978
753,Carolyn,Slingshots,Going to movies,12/01/1924
754,Paul,Educational Courses,Robotics,2/09/1994
755,Joe,Paintball,Jigsaw Puzzles,5/05/1974
756,Marilyn,Home Theater,Rescuing Abused Or Abandoned Animals,8/12/1922
757,Patrick,Exercise (aerobics& weights),Tesla Coils,31/12/1992
758,Sandra,Kites,Belly Dancing,12/06/1986
759,Elizabeth,Woodworking,Digital Photography,20/07/1939
760,Lawrence,Train Spotting,Shopping,30/06/1934
761,Kevin,Birding,Learn to Play Poker,12/04/1925
762,Wanda,Casino Gambling,Wrestling,19/02/1958
763,Nicholas,Skeet Shooting,Model Rockets,18/11/1946
764,Eric,Pinochle,Writing,23/07/1925
765,Mark,Sketching,Cake Decorating,1/01/1966
766,Evelyn,Games,Musical Instruments,30/09/1956
767,Henry,Leathercrafting,Juggling,2/05/1923
768,Maria,Rock Collecting,Home Brewing,15/11/1922
769,Jonathan,Train Collecting,Crochet,7/06/1946
770,Margaret,Textiles,Backgammon,15/01/1977
771,Judy,Collecting Antiques,Slack Lining,26/04/1936
772,Lawrence,BMX,Aircraft Spotting,13/04/1901
773,Christina,Lacrosse,Slack Lining,22/12/2006
774,Nicole,Fire Poi,Rescuing Abused Or Abandoned Animals,13/06/1924
775,Jacqueline,Compose Music,Model Rockets,20/05/1997
776,Catherine,Church/church activities,Skiing,11/06/1909
777,Ernest,Papermaking,Skateboarding,11/04/2007
778,Steve,Needlepoint,R/C Cars,2/07/1913
779,Karen,Airsofting,Parachuting,7/12/1970
780,Daniel,Collecting RPM Records,Surf Fishing,13/10/2007
781,Louis,Tutoring Children,Aquarium (Freshwater & Saltwater),24/05/1960
782,Gary,Basketball,Calligraphy,27/02/1957
783,Gregory,Legos,Weightlifting,7/03/1927
784,Gloria,Fencing,Games,26/03/1984
785,Aaron,Writing Music,Gunsmithing,17/04/1969
786,Eugene,Football,Games,18/12/1951
787,Alan,Musical Instruments,Brewing Beer,1/07/1905
788,Debra,Ceramics,Shark Fishing,5/10/1965
789,Scott,R/C Cars,Kites,19/01/1965
790,Heather,Rocking AIDS Babies,Metal Detecting,24/12/1920
791,Howard,Wingsuit Flying,Paragliding or Power Paragliding,21/12/1918
792,Julia,Parachuting,Bell Ringing,13/10/1927
793,Jeremy,Diecast Collectibles,Gardening,17/08/1976
794,Amy,Aeromodeling,Cheerleading,23/10/1961
795,Joseph,Freshwater Aquariums,Soap Making,2/11/1977
796,Jimmy,Socializing with friendseighbors,Amateur Radio,7/12/1993
797,Henry,Bookbinding,Playing music,15/01/1972
798,Juan,Self Defense,Learning A Foreign Language,26/03/2001
799,Daniel,Baseball,Wingsuit Flying,20/12/1939
800,Carl,Taxidermy,Paragliding or Power Paragliding,10/10/1976
801,Jane,Knitting,Educational Courses,2/04/1951
802,Elizabeth,Reading,Self Defense,2/04/1978
803,Theresa,Beatboxing,Matchstick Modeling,11/10/1998
804,Clarence,Parkour,Cosplay,10/06/2007
805,Kimberly,Computer activities,Ultimate Frisbee,19/03/1908
806,Stephen,Listening to music,Astronomy,6/08/1944
807,Dorothy,Collecting Swords,Hiking,31/01/1906
808,Elizabeth,Cigar Smoking,Frisbee Golf – Frolf,19/04/2006
809,Jean,Collecting,Coloring,19/10/1991
810,Irene,Baseball,Football,7/12/1978
811,Doris,Walking,Writing Music,1/11/2007
812,Barbara,Collecting Artwork,Backgammon,8/02/1990
813,Donna,Floorball,Jigsaw Puzzles,26/07/1970
814,Charles,Home Repair,Basketball,6/05/1926
815,Jeffrey,Walking,Yoga,4/10/1922
816,Brian,Matchstick Modeling,Powerboking,3/04/1909
817,Judy,Darts,Volunteer,16/08/1927
818,Benjamin,Letterboxing,Internet,4/11/1987
819,Sharon,Spelunkering,Home Repair,14/04/1992
820,Donald,Texting,Papermaking,1/02/1960
821,Barbara,Lacrosse,Singing In Choir,17/01/1917
822,Diana,Skeet Shooting,Boating,3/01/1923
823,Jerry,BMX,Falconry,13/05/1948
824,Randy,Dumpster Diving,Video Games,15/05/1916
825,Paula,Relaxing,Learning An Instrument,11/07/2003
826,Dorothy,Texting,Drawing,3/12/1936
827,Jose,Locksport,Surfing,3/01/1967
828,David,Games,Urban Exploration,28/05/2001
829,Robin,Bringing Food To The Disabled,Wingsuit Flying,30/04/1925
830,Jessica,Aeromodeling,Puppetry,3/02/1948
831,Keith,Cheerleading,Spending time with family/kids,21/08/1963
832,Benjamin,Boomerangs,Gnoming,13/05/1928
833,Paul,Train Collecting,Hang gliding,30/08/1947
834,Carl,Snorkeling,Martial Arts,20/12/1957
835,Benjamin,Cross-Stitch,Cake Decorating,28/08/1901
836,Denise,Reading To The Elderly,Floorball,6/11/2007
837,Gary,Beachcombing,Skeet Shooting,10/01/1996
838,Jose,Fast cars,Freshwater Aquariums,11/04/1989
839,Ralph,BMX,Going to movies,20/09/2008
840,Phillip,Tatting,Fishing,22/09/2002
841,Angela,Planking,Fishing,11/03/1929
842,Carol,Freshwater Aquariums,Cosplay,11/04/1984
843,Lisa,Dominoes,Going to movies,5/09/1992
844,Louis,Chess,Weightlifting,5/10/1929
845,Susan,Zumba,Aircraft Spotting,1/11/1938
846,Margaret,Butterfly Watching,Kitchen Chemistry,17/08/1936
847,Jerry,Astrology,R/C Boats,24/03/1932
848,Michelle,Floorball,Cooking,14/08/1945
849,Peter,Cross-Stitch,Model Rockets,19/01/1924
850,Raymond,Floral Arrangements,Badminton,15/07/1908
851,Patrick,Playing music,Reading,4/08/1914
852,Carlos,Slot Car Racing,Fast cars,12/03/1948
853,Robert,Windsurfing,Tatting,17/02/1991
854,Arthur,Textiles,Metal Detecting,21/04/1981
855,Carol,Bookbinding,Geocaching,28/11/1917
856,Mary,BMX,Motorcycles,6/06/1957
857,Jose,Geocaching,Ceramics,22/06/1954
858,Margaret,Handwriting Analysis,Socializing with friendseighbors,25/06/1909
859,Jeremy,Dumpster Diving,Marksmanship,10/02/1955
860,Carlos,Cross-Stitch,Blacksmithing,20/12/1949
861,Paul,Go Kart Racing,Painting,23/06/1941
862,Mildred,Martial Arts,Reading To The Elderly,7/04/1912
863,Melissa,Running,Chess,20/05/1930
864,Andrea,Speed Cubing (rubix cube),Gunsmithing,9/06/1953
865,Steven,Dancing,Collecting Swords,4/09/1957
866,Frank,Collecting Hats,Cigar Smoking,17/10/1922
867,Kimberly,Pinochle,Tutoring Children,13/08/1916
868,Shawn,Rescuing Abused Or Abandoned Animals,Writing,1/02/1907
869,Denise,Models,Traveling,18/08/1968
870,Henry,Spelunkering,Horse riding,6/07/1967
871,Patricia,Rocking AIDS Babies,Fast cars,25/05/1950
872,Jean,Blogging,Railfans,12/02/1916
873,Mary,Shopping,Yoga,25/03/1983
874,Billy,Racing Pigeons,Hiking,8/10/1934
875,Annie,Sewing,Slack Lining,19/05/2002
876,Brian,Car Racing,Sewing,6/01/1907
877,Sandra,Windsurfing,Rafting,6/06/1988
878,Joan,Sky Diving,Herping,16/04/1932
879,Dennis,Macramé,Hunting,13/03/2007
880,Marilyn,Electronics,Yoga,21/07/1933
881,Dorothy,Volunteer,Cosplay,21/08/1906
882,Brian,Gunsmithing,Paragliding or Power Paragliding,21/03/1968
883,Heather,Cheerleading,Running,27/02/1926
884,Debra,Home Theater,World Record Breaking,27/05/1970
885,James,R/C Cars,R/C Planes,5/03/1963
886,Wanda,Lacrosse,Tombstone Rubbing,30/10/1910
887,Emily,Storytelling,Jump Roping,11/06/2002
888,Karen,Taxidermy,Coin Collecting,4/07/1938
889,Sara,Hula Hooping,Socializing with friendseighbors,11/08/2009
890,Carol,Beachcombing,Windsurfing,24/02/1904
891,Virginia,Acting,Meditation,26/07/2003
892,Aaron,Soccer,Beach/Sun tanning,9/08/1962
893,Daniel,Weightlifting,Mountain Biking,22/11/1905
894,Christine,Tool Collecting,Letterboxing,25/01/1984
895,Michelle,Speed Cubing (rubix cube),Reading,16/03/2006
896,Norma,Speed Cubing (rubix cube),Crochet,7/08/1901
897,Ernest,Fast cars,Sewing,2/07/1991
898,Shirley,Fishing,Playing music,2/09/1978
899,Rose,Pyrotechnics,Crochet,20/10/2008
900,Angela,Learning A Foreign Language,Collecting Hats,22/08/1961
901,Anthony,Owning An Antique Car,Storm Chasing,9/02/1977
902,Craig,Owning An Antique Car,Knotting,20/11/1915
903,Walter,Tutoring Children,Storm Chasing,27/06/1999
904,Harry,People Watching,Hot air ballooning,16/02/1954
905,Maria,Pole Dancing,Frisbee Golf – Frolf,20/06/1945
906,Carl,Snorkeling,Quilting,7/09/1917
907,Amy,Amateur Astronomy,Matchstick Modeling,28/02/1922
908,Walter,Floorball,Yoga,30/12/1938
909,Charles,Model Rockets,Bowling,3/07/1959
910,Benjamin,BMX,Tennis,14/05/1921
911,Denise,Model Rockets,Tombstone Rubbing,16/11/1991
912,Jeffrey,Robotics,Needlepoint,30/12/1971
913,Nancy,Parkour,Collecting,21/10/1978
914,Katherine,BoardGames,Listening to music,17/10/1946
915,Tammy,Modeling Ships,Knitting,10/11/1984
916,Michelle,Computer activities,Gymnastics,30/10/1903
917,Andrew,Soap Making,Basketball,17/01/2007
918,Jacqueline,Collecting Music Albums,Saltwater Aquariums,30/06/1957
919,Fred,Astronomy,Tombstone Rubbing,18/09/1900
920,Denise,Slingshots,Aircraft Spotting,26/04/1959
921,Alice,Kayaking,Beachcombing,21/12/1932
922,Earl,Pipe Smoking,Cross-Stitch,4/01/2004
923,Donald,Roleplaying,Crossword Puzzles,23/09/1984
924,Tammy,Genealogy,Floorball,15/01/1906
925,Eugene,Dolls,Pyrotechnics,18/01/1911
926,Justin,Rescuing Abused Or Abandoned Animals,Tutoring Children,14/12/1966
927,Eugene,Internet,Reading,6/05/1932
928,Howard,Stamp Collecting,Cartooning,25/01/1909
929,Frances,Painting,Crafts,28/10/1943
930,Donald,Pottery,Chess,29/08/1947
931,Douglas,Snowboarding,Inventing,22/02/1955
932,Tammy,Felting,Gun Collecting,18/09/1958
933,Lois,Badminton,Genealogy,6/09/1978
934,Gerald,Crafts (unspecified),R/C Planes,4/05/1953
935,Patricia,Hula Hooping,Cake Decorating,8/12/1943
936,Willie,Boating,Impersonations,18/06/1907
937,Sara,Jet Engines,Photography,5/07/1903
938,Marilyn,Ultimate Frisbee,Gnoming,9/02/1940
939,Katherine,Piano,Magic,2/11/1999
940,Margaret,Rapping,Motorcycles,24/06/1919
941,Victor,Ceramics,Relaxing,30/05/1958
942,Jose,Airsofting,Writing Music,6/06/1925
943,Gerald,Bowling,Skeet Shooting,15/05/1964
944,Susan,Yoga,Rapping,22/05/1919
945,Phyllis,Self Defense,Sketching,1/08/1961
946,Juan,Knitting,Playing music,4/09/1967
947,Henry,Gyotaku,Martial Arts,2/01/1963
948,Martha,Aeromodeling,Kitchen Chemistry,11/03/1958
949,Timothy,Embroidery,Tetris,18/11/1938
950,Marilyn,Textiles,Crafts (unspecified),11/12/1987
951,Jack,Blacksmithing,Violin,5/09/1931
952,Mark,Socializing with friendseighbors,Sleeping,2/07/1956
953,Nancy,Gymnastics,Windsurfing,18/10/1944
954,Jeffrey,TV watching,Saltwater Aquariums,7/05/1966
955,Janet,Racing Pigeons,Sleeping,17/03/1913
956,Edward,Archery,Boating,12/07/1996
957,Wayne,Fishing,Digital Photography,5/10/1943
958,Raymond,Dolls,Electronics,24/04/1973
959,Dorothy,Cartooning,People Watching,30/07/1910
960,Bruce,Snowboarding,Crocheting,8/06/1909
961,Katherine,Crafts,Horse riding,5/02/1923
962,Doris,Skiing,Slot Car Racing,21/09/1971
963,Douglas,Owning An Antique Car,Crossword Puzzles,17/08/2009
964,Terry,Cosplay,Basketball,23/12/1944
965,Lois,Woodworking,Leathercrafting,27/12/1946
966,Jack,Powerboking,Building Dollhouses,28/11/2004
967,Wanda,Scuba Diving,Shark Fishing,15/07/1975
968,Phyllis,Internet,Bonsai Tree,27/08/1979
969,Nicole,Tool Collecting,Going to movies,14/04/1913
970,Earl,Mountain Climbing,Stamp Collecting,24/09/1993
971,Kathryn,Racing Pigeons,Birding,14/02/1961
972,Cheryl,Shark Fishing,Violin,30/08/1906
973,Ronald,Grip Strength,Writing,4/01/1923
974,Norma,Ghost Hunting,Painting,16/05/1922
975,Dorothy,Tombstone Rubbing,Fishing,7/12/1921
976,Dennis,Blogging,Glowsticking,6/06/1901
977,Roy,Chess,Walking,25/11/1949
978,Louis,Gyotaku,Home Brewing,28/07/1903
979,Judith,Reading To The Elderly,Horse riding,30/07/1994
980,Raymond,Letterboxing,Aeromodeling,26/07/1972
981,Shawn,Train Spotting,Amateur Radio,26/05/1981
982,Lillian,YoYo,Nail Art,3/05/1975
983,Lori,Painting,Rockets,11/10/1943
984,Patrick,Dominoes,Gardening,5/06/1976
985,Ann,Dumpster Diving,Church/church activities,12/10/1964
986,Kenneth,Locksport,Scuba Diving,11/06/1943
987,Ernest,Games,Crocheting,11/02/1951
988,Anthony,Parachuting,Felting,31/08/1977
989,Shawn,Meditation,Crafts,27/06/1980
990,Donald,Conworlding,Basketball,27/03/1946
991,Philip,Locksport,Lacrosse,22/06/1945
992,Paula,Puppetry,Tutoring Children,19/06/1902
993,Teresa,Powerboking,Sketching,19/10/1929
994,Linda,Protesting,Crocheting,5/07/1916
995,Johnny,Diecast Collectibles,Pinochle,30/07/1905
996,Kevin,Painting,Toy Collecting,18/05/1945
997,William,Stamp Collecting,Pole Dancing,17/05/1998
998,Irene,People Watching,Sleeping,25/07/1973
999,Frank,Skiing,Jet Engines,12/03/1927
1000,a,,,13/07/1990
